Compound	Occurrences	pubchem_isosmiles
nbcl3*c4h10o2	12	empty
nbcl4(thf)2	12	empty
nbcl5	48	Cl[Nb](Cl)(Cl)(Cl)Cl
nbe	45	C1=CC=C(C=C1)NO
nbh4	1	empty
nbr	1	CN(C)C1=CC=[N+](C=C1)CC2=CC=C(C=C2)OCCOC3=CC=C(C=C3)C[N+]4=CC=C(C=C4)N(C)C
nbs	106	C1CC(=O)N(C1=O)Br
nbsac	2	empty
nbsacc	17	empty
nbsh	15	C1=CC=C(C(=C1)[N+](=O)[O-])S(=O)(=O)NN
nbu2sno	1	empty
nbu3p*bh3	1	empty
nbu3sbh	1	empty
nbu3sn(nbu)cu(cn)li2	2	empty
nbu3sncl	19	CCCC[Sn](CCCC)(CCCC)Cl
nbu3snotf	10	empty
nbu4(+)*hso3(-)	9	empty
nbu4*hf	1	empty
nbu4[o2v(o2cc2h2ph)2]	4	empty
nbu4bf4	19	empty
nbu4cf3so3	1	empty
nbu4cl	2	empty
nbu4f	1	empty
nbu4n(+)so4h(-)	8	empty
nbu4nf	1	CCCC[N+](CCCC)(CCCC)CCCC~[F-]
nbu4nh	1	empty
nbu4nh2	13	empty
nbu4nhf	6	empty
nbu4nn3	31	empty
nbu4noac*hoac	27	CCCC[N+](CCCC)(CCCC)CCCC~CC(=O)[O-]~CC(=O)[O-]
nbu4npf6	465	empty
nbu4nph3snf2	2	empty
nbu4oh	1	empty
nbu4znli2	2	empty
nbu4znli2*tmeda	28	empty
nbubr	1	empty
nbuli	39	[Li+]~CCC[CH2-]
nbun4mno4	20	empty
nbunbf4	9	empty
nbunbr3	1	empty
nbunf	3	empty
nbunhso4	1	empty
nbunso4	1	empty
nbuseli	15	empty
nbusn3h	1	empty
nc4h9li	1	empty
nc5h3(ch3)2	2	empty
nc5h3(ch3)2 or nc5h2(ch3)3 or nc5h5 or brnc5h4	1	empty
ncch2ch2op(n(i-pr)2)och2ch2nhfmoc	1	empty
ncch2co2(1-)	3	empty
ncch2nh2	8	C(C#N)N
ncp-pincer palladacycle	9	empty
ncps-net2	10	empty
ncsf2 from streptomyces neocarzinostaticus, aam78002	5	empty
nd4cl, deuterated ammonium chloride	3	empty
nd5o(oipr)13	9	empty
nda	2	empty
ndcl3*2licl	1	empty
ndi3	16	I[Nd](I)I
ndi3(thf)3.5	1	empty
neat	4	empty
neat (no solvent)	6028	empty
neat (no solvent, gas phase)	51	empty
neat (no solvent, solid phase)	193	empty
neat liquid	49	empty
neda	13	empty
neo-pentyl lithium	2	C(C(C)(C)C)[Li]
neodymium	3	[Nd]
neodymium (iii) chloride	1	[Cl-]~[Nd+3]~[Cl-]~[Cl-]
neodymium trifluoromethanesulfonate	53	FC(S(=O)(=O)[O-])(F)F~[Nd+3]~FC(S(=O)(=O)[O-])(F)F~FC(S(=O)(=O)[O-])(F)F
neodymium(ii) diiodide	9	[I-]~[I-]~[Nd+2]
neolysttm m3	3	empty
neon	6	[Ne]
neona	2	empty
neopentane	1	CC(C)(C)C
neopentane2,2-dimethylpropane	3	empty
neopentyl grignard reagent	2	empty
neopentylmagnesium bromide	160	C(C(C)(C)C)[Mg]Br
neoproine	1	empty
neotyphodium lolii easa	1	empty
net(ipr)2	47	CCN(C(C)C)C(C)C
net-i-pr2	2	empty
net2	2	empty
net3	87	CCN(CC)CC
net3 or k2co3	1	empty
net4	2	empty
net4cl	3	empty
net4cn	2	empty
neutral alox	1	empty
neutral lead acetate	73	CC(=O)[O-]~CC(=O)[O-]~[Pb+2]
new fuchsine	1	CC1=CC(=C(C2=CC(=C(C=C2)N)C)C3=CC(=C(C=C3)N)C)C=CC1=N~Cl
nf-(dhq)2aqn	1	empty
nfsi	45	C1=CC=C(C=C1)S(=O)(=O)N(F)S(=O)(=O)C2=CC=CC=C2
nh(c2h5)2	1	empty
nh(ch(ch3)2)2	3	empty
nh(i-pr)2	1	CC(C)NC(C)C
nh(tms)2	1	empty
nh2	2	[NH2]
nh2(1-)	1	empty
nh2(ch2)2	1	empty
nh2(dipp)bh3	1	empty
nh2*hcl	1	empty
nh2-mil-101(al) metal-organic framework	4	empty
nh2c(c6h4och3)2ch(ch(ch3)2)nh2	1	empty
nh2ch(ch3)2	1	empty
nh2ch2c(c6h5)2ch2chch2	1	empty
nh2csenh2	5	empty
nh2et	1	empty
nh2n(ch3)2	2	empty
nh2nh(c6h5)	1	empty
nh2nh2?xh2o	231	empty
nh2o*hcl	2	empty
nh2oh*h2o	4	empty
nh2oso2c6h2(ch3)3	1	empty
nh2p(o)(oph)2	3	empty
nh2pr(7.5)-sba-15	1	empty
nh3	71	N
nh3 or (ch2nh2)2	1	empty
nh3*h2o	10	empty
nh3oh	1	empty
nh3sh	1	empty
nh4	1	N
nh4(1+)-resin (dowex 50 w * 8)	2	empty
nh4(hco3)	11	empty
nh4(so4)2	10	empty
nh4*bf4	1	empty
nh4-molybdate	1	empty
nh45no3	1	empty
nh4al(so4)2	1	empty
nh4bf4	564	[B-](F)(F)(F)F~[NH4+]
nh4br	229	[NH4+]~[Br-]
nh4cl	30	[NH4+]~[Cl-]
nh4cl aqueous soln.	1	empty
nh4f	44	[NH4+]~[F-]
nh4fe(ii)s04	21	empty
nh4hco3	66	empty
nh4hcoh	1	empty
nh4i	330	[NH4+]~[I-]
nh4no3	1	empty
nh4oac	2	CC(=O)[O-]~[NH4+]
nh4oac buffer	3	empty
nh4oh	35	[NH4+]~[OH-]
nh4oh (25percent)	4	empty
nh4pf4	1	empty
nh4pf6	926	[NH4+]~F[P-](F)(F)(F)(F)F
nh4s2o8	17	empty
nh4scn	2	C(#N)S~N
nh4so4	2	empty
nh4tfa	4	empty
nh4vo3	11	empty
nhc	1	empty
nhc(15)aupropyne	14	empty
nhc*ag	1	empty
nhc-ag(i) complex	2	empty
nhc-pd(ii)-im	141	empty
nhco3	1	empty
nhet2	4	empty
nhipr2	2	empty
nhnh	1	empty
nhs-tfa	1	empty
ni	24	[Ni]
ni raney	12	empty
ni raney (t4)	3	empty
ni salt	1	empty
ni w-6	1	empty
ni(0) phosphine complex	1	empty
ni(0)*2ec*py complex	15	empty
ni(0)*p(t-bu)3	1	empty
ni(0)*tricyclohexylphosphine	5	empty
ni(1,2-bis(dicyclohexylphosphino)ethane)(naphthaalen-2-yl)(pivalate)	1	empty
ni(1,2-bis(diphenylphosphanyl)-benzene)cl2	3	empty
ni(1,4,7-triazacyclononane)2(3+)	1	empty
ni(1,5-bis-cyclooctadiene)2	2	empty
ni(1,5-cyclooctadiene)2	2	empty
ni(1-(2-nh2ch2(c6h4))-3-me-imidazolidene-2)2(pf6)2	1	empty
ni(2+)*c2h3o2(1-)*2h2o	1	empty
ni(2,2'-bipyridyl)(1,5-cyclooctadiene)	2	empty
ni(2-ethylhexanoate)n + nabh4	2	empty
ni(30 wt)/sio2	1	empty
ni(4-f-phcn)4(otf)2	11	empty
ni(4-f-phcn)4cl2	7	empty
ni(ac)2*h2o	1	empty
ni(ac)4*4h2o	1	empty
ni(acac)	13	empty
ni(acac)2	61	C/C(=C/C(=O)C)/[O-]~C/C(=C/C(=O)C)/[O-]~[Ni+2]
ni(acac)2*h2o	1	empty
ni(acac)2*xh2o	1	empty
ni(acetylacetonate)2	2	empty
ni(aco)2路6h2o	1	empty
ni(allyl)br[(s,r,r)-spiro phosphoramidite ligand]	6	empty
ni(an)2	3	empty
ni(bf4)2*6h2o	151	empty
ni(bis(4-methylphenyl)imidazolium chloride)(methyl methacrylate)2	15	empty
ni(br)2(dppe)	405	empty
ni(c17h35coo)2	1	empty
ni(c8h12)2	14	empty
ni(c8h12)2/ch2(ch2p(c6h5)2)2	2	empty
ni(ch3co2)4h2o	3	empty
ni(cl){2-(ph2p(o))c6h4nch(ph)pph2}	6	empty
ni(cl){2-(ph2p)c6h4nch(ph)p(o)ph2}	27	empty
ni(clo4)*6h2o	1	empty
ni(clo4)2路6h2o	336	empty
ni(co)2(pph3)2	74	[C-]#[O+]~[C-]#[O+]~C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3~C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3~[Ni]
ni(co)4	41	empty
ni(co4)4	1	empty
ni(cod)2	89	C1/C=C\CC/C=C\C1~C1/C=C\CC/C=C\C1~[Ni]
ni(cyclooctadiene)2	3	empty
ni(dppe)2cl2	1	empty
ni(dppp)2cl2	2	empty
ni(hexafluoroacetylacetonate)2	2	empty
ni(i)2(dppe)	6	empty
ni(ii)	7	[Ni+2]
ni(ii) complexes	1	empty
ni(ii) complexes of bidentate carbene	8	empty
ni(ii) methyl-substituted salen	1	empty
ni(ii) nitrate	1	empty
ni(ii)(n,n?-bis(salicylidene)ethylenediamine)	7	empty
ni(ii)-bis[(r,r)-n,n?-dibenzylcyclohexane-1,2-diamine]br2	1	empty
ni(ii)-bis[(s,s)-biisoindoline]br2	1	empty
ni(ii)-bis[(s,s)-n,n-dibenzylcyclohexane-1,2-diamine]br2	12	empty
ni(ii)-oximate	2	empty
ni(ii)/c	2	empty
ni(ii)tpp	1	empty
ni(mesal)2	2	empty
ni(no3)2路6h2o	57	empty
ni(ntf2)2	3	empty
ni(oac)2*2h2o	4	empty
ni(oac)2*4h2o	1	empty
ni(oac)2-(h2o)4-(r,r)-n,n'-dibenzylcyclohexane-1,2-diamine complex	11	empty
ni(oac)2-(h2o)4-(s,s)-n,n'-dibenzylcyclohexane-1,2-diamine complex	4	empty
ni(oac)4	8	empty
ni(oh)2	24	empty
ni(p(oc3h7-i)3)4	1	empty
ni(pcy3)2br2	2	empty
ni(pet3)2cl2	4	empty
ni(phenyl 2,3-bis-o-lt;bislt;3,5(trifluoromethyl)phenylgt;phosphinogt;-4,6-o-benzylidene-beta-d-glucopyranoside)(cod)	1	empty
ni(pph2me)	2	empty
ni(pph2me)2cl2	8	empty
ni(pph3)2	5	empty
ni(pph3)2(1-(p-acetylnaphthyl))cl	10	empty
ni(pph3)2(1-naphthyl)cl	8	empty
ni(pph3)2(phenyl)br	9	empty
ni(pph3)2(phenyl)cl	2	empty
ni(pph3)3cl2	6	empty
ni(pph3)4	190	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3~C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3~C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3~C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3~[Ni]
ni(py)4cl2	2	empty
ni(r) w-2	2	empty
ni(ra)	14	empty
ni-(r)-binap(otf)2	1	empty
ni-al hydrotalcite	27	empty
ni-catalyst	1	empty
ni-cr catalyst	1	empty
ni-cr-b catalyst	1	empty
ni-doped silica	2	empty
ni-gr2	9	empty
ni-ra	2	empty
ni-raney	18	empty
ni-re	1	empty
ni-salt	2	empty
ni/pd(at)mil-101	2	empty
ni0.64al0.36(oh)2[(wo4)0.045(no3)027]*0.6h2o	8	empty
ni2(i-pr2im)4(cod)	6	empty
ni2+-exchanged y-zeolite	28	empty
ni[(s)-binap]i2	1	empty
ni[n(sime3)2,6-diisopropylphenyl]2	1	empty
ni[p(4-meoc6h4)3]2cl2	5	empty
ni[p(oet)3]4	12	empty
ni[p(oph)3]4	43	empty
nibr2(methyldiphenylphosphine)2	1	empty
nibr2(pph3)2	130	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3~C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3~[Ni](Br)Br
nibr2*2,2'-bipyridine	3	empty
nibr2*diglyme	30	empty
nibr2*glyme	24	empty
nibr2[1,3-bis(diphenylphosphino)propane]	6	empty
nic	5	empty
nic(w)	8	empty
nichel(ii) trifluoroacetate	1	empty
nickamine	2	CN(C)C1=CC=CC=C1[N-]C2=CC=CC=C2N(C)C~Cl[Ni]
nickel	8395	[Ni]
nickel 1,3-bis(diphenylphosphino)propane	1	C1(=CC=CC=C1)P(CCCP(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1~[Ni]
nickel 2-ethylhexanoate	4	C(C)C(C(=O)[O-])CCCC~[Ni+2]~C(C)C(C(=O)[O-])CCCC
nickel acetate	1	C(C)(=O)[O-]~[Ni+2]~C(C)(=O)[O-]
nickel acetate tetrahydrate	9	O~O~O~O~C(C)(=O)[O-]~[Ni+2]~C(C)(=O)[O-]
nickel amido phosphine pincer complex	9	empty
nickel boride	34	empty
nickel boride catalyst	1	empty
nickel carbonyl	7	[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[Ni]
nickel catalysts	8	empty
nickel celite (cellit ?)	2	empty
nickel chloride pentahydrate	1	O~O~O~O~O~[Ni](Cl)Cl
nickel chromite	4	[Cr](=O)([O-])[O-]~[Ni+2]
nickel coated zinc	2	empty
nickel complex of (r)-schiff base,derivative of binaphthyl	2	empty
nickel copper	1	[Cu]~[Ni]
nickel cyanide	7	[Ni](C#N)C#N
nickel diacetate	524	C(C)(=O)[O-]~C(C)(=O)[O-]~[Ni+2]
nickel dibenzoate	1	C(C1=CC=CC=C1)(=O)[O-]~C(C1=CC=CC=C1)(=O)[O-]~[Ni+2]
nickel dibromide	1	[Ni](Br)Br
nickel dichloride	1585	[Ni](Cl)Cl
nickel fuller's earth	1	empty
nickel kieselguhr	41	empty
nickel kieselguhr-catalyst	1	empty
nickel monoaluminide	154	empty
nickel niobate	1	empty
nickel nitrate	1	[N+](=O)([O-])[O-]~[Ni+2]~[N+](=O)([O-])[O-]
nickel on carbon	24	empty
nickel on silica	10	[Ni]
nickel oxide	19	[Ni]=O
nickel phosphine amido pincer complex	24	empty
nickel pumice stone	1	empty
nickel raney	1	empty
nickel reagent (from nibr2*dme, ph3p and lialh4)	1	empty
nickel ruthenium	9	[Ru]~[Ni]
nickel semiboride	10	empty
nickel sesquioxide	5	[O-2]~[O-2]~[O-2]~[Ni+3]~[Ni+3]
nickel sulfate hexahydrate	2	O~O~O~O~O~O~S(=O)(=O)([O-])[O-]~[Ni+2]
nickel sulfide	2	[Ni]=S
nickel sulphate	13	S(=O)(=O)([O-])[O-]~[Ni+2]
nickel tetraaza macrocycle	2	empty
nickel trifluoromethanesulfonate	412	FC(S(=O)(=O)[O-])(F)F~[Ni+2]~FC(S(=O)(=O)[O-])(F)F
nickel upon kieselguhr	2	empty
nickel(0) nanoparticles	20	empty
nickel(0)(1,5-cyclooctadiene)2	6	empty
nickel(0)(pmeph2)4	1	empty
nickel(i) chloride	1	[Ni]Cl
nickel(ii) acetate (1+)	1	empty
nickel(ii) acetylacetonate(2,2?-bipyridyl)	8	empty
nickel(ii) bromide dimethoxyethane	12	C(OC)COC~[Ni](Br)Br
nickel(ii) bromide ethylene glycol dimethyl ether	191	COCCOC~[Ni](Br)Br
nickel(ii) bromide trihydrate	7	O~O~O~[Ni](Br)Br
nickel(ii) bromide*ethylene glycol dimethyl ether	43	empty
nickel(ii) chlorate(vii)	48	empty
nickel(ii) chloride heptahydrate	4	O~O~O~O~O~O~O~[Ni](Cl)Cl
nickel(ii) chloride hexahydrate	1	O~O~O~O~O~O~[Ni](Cl)Cl
nickel(ii) chloride monohydrate	8	O~[Ni](Cl)Cl
nickel(ii) cyanide	2	[Ni](C#N)C#N
nickel(ii) fluoride	1	[Ni](F)F
nickel(ii) nitrate hexahydrate	17	O~O~O~O~O~O~[N+](=O)([O-])[O-]~[Ni+2]~[N+](=O)([O-])[O-]
nickel(ii) perchlorate hexahydrate	23	O~O~O~O~O~O~Cl(=O)(=O)(=O)[O-]~[Ni+2]~Cl(=O)(=O)(=O)[O-]
nickel(ii) perchlorate hydrate	2	O~Cl(=O)(=O)(=O)[O-]~[Ni+2]~Cl(=O)(=O)(=O)[O-]
nickel(ii) sulphate	1	S(=O)(=O)([O-])[O-]~[Ni+2]
nickel(ii) triflate	22	[O-]S(=O)(=O)C(F)(F)F~[Ni+2]~[O-]S(=O)(=O)C(F)(F)F
nickel-aluminium	5	[Al]~[Ni]
nickel-aluminium alloy	1	empty
nickel-aluminum alloy	7	empty
nickel-chromium (iii)-oxide	1	[O-2]~[Cr+3]~[Ni+2]
nickel-chromium catalyst	1	empty
nickel-cobalt	1	[Co]~[Ni]
nickel-copper catalysts	1	empty
nickel-doped carbon	15	empty
nickel-in-charcoal	1	empty
nickel-nickel chromite	1	[Cr](=O)([O-])[O-]~[Ni+2]~[Ni+2]~[Cr](=O)([O-])[O-]
nickel-nickel oxide catalyst	2	empty
nickel-nickel oxide-chromium dioxide catalyst	1	empty
nickel-nickel oxide-chromium oxide	1	[O-2]~[Cr+3]~[Ni]=O~[Ni+2]
nickel-nickel oxide-chromium oxide catalyst	5	empty
nickel-palladium	2	[Pd]~[Ni]
nickel-phosphane	2	P~[Ni]
nickel-salen complex	2	empty
nickel/molybdenum on alumina	2	empty
nicl(1-naphthyl)(pph3)2	31	empty
nicl(2,4-lutidine)(me2nc6h4nc6h4me)	1	empty
nicl(2,4-lutidine)(me2nc6h4nc6h4ph)	2	empty
nicl(2,4-lutidine)(me2nc6h4nph)	6	empty
nicl(o-tolyl)(tetramethylethylenediamine)	7	empty
nicl2 hydrate	1	empty
nicl2(1,3-bis(diphenylphosphino)propane)	1	empty
nicl2(dme)	18	COCCOC~Cl[Ni]Cl
nicl2(dppe)	17	C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4~Cl[Ni]Cl
nicl2(h2o)6	1	empty
nicl2(p(ch3)3)2	1	empty
nicl2(pcy3)2	65	C1CCC(CC1)P(C2CCCCC2)C3CCCCC3~C1CCC(CC1)P(C2CCCCC2)C3CCCCC3~Cl[Ni]Cl
nicl2(pme3)2	21	CP(C)C~CP(C)C~Cl[Ni]Cl
nicl2(pnbu3)2	8	empty
nicl2(pph3)2	2	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3~C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3~Cl[Ni]Cl
nicl2(pph3)ipr	1	empty
nicl2*0.97c2h6o	2	empty
nicl2*2,9-diethyl-1,10-phenanthroline complex	3	empty
nicl2*2,9-dimethyl-1,10-phenanthroline complex	8	empty
nicl2*6h2o	1	empty
nicl2*c18h20n2	6	empty
nicl2*dmp	1	empty
nicl2*glyme	1	empty
nicl2*phenanthroline	1	empty
nicl2.6h2o	16	empty
nicl2/1,10-phenanthroline	7	empty
nicl2/p(c6h5)3	1	empty
nicl2dppf	10	empty
nicl2路6h2o	181	empty
nicl6*h2o	2	empty
nicl6h2o	2	empty
niclcpimes	16	empty
nicotimanide adeninedinucleotide phosphate	1	empty
nicotinamide	4	C(C1=CN=CC=C1)(=O)N
nicotinamide adenine dinucleotide	121	C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
nicotinamide adenine dinucleotide phosphate	19	C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N
nicotinamide adenine dinucleotide red. form	12	empty
nicotinamide flucytosine dinucleotide	2	empty
nicotinic acid benzylamide	1	C(C1=CC=CC=C1)NC(C1=CN=CC=C1)=O
nicotinic acid*cro3	1	empty
nicotinic-chromic anhydride	1	[Cr](=O)(=O)(O)OC(C1=CN=CC=C1)=O
nicotinium dichromate	1	C[NH+]1CCCC1C2=CN=CC=C2~C[NH+]1CCCC1C2=CN=CC=C2~[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-]
nicotinoyl azide	1	C(C1=CN=CC=C1)(=O)N=[N+]=[N-]
nicra (4/2/1)	2	empty
nicra (5/2/1)	8	empty
nicra (7/2/1)	7	empty
nicra-bpy	3	empty
nicra-bpy (4/2/1/2)	2	empty
nicufeo(x)	88	empty
nido-decaborane	1	empty
nif2	47	F[Ni]F
nii(oeibc)-	5	empty
nii2	312	[Ni](I)I
nii2(2,9-dimethyl-1,10-phenanthroline)	1	empty
nii2(p-tolbiphep)	2	empty
nii2*3.5h2o	6	empty
nii2*3.9h2o	19	empty
nii2*xh2o	1	empty
niii chloride hexahydrate	518	empty
niii{me3p}2cl2	61	empty
nimgal mixed oxide	7	empty
ninhydrin	2	C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O
nio#al2o3	1	empty
nio2	144	empty
niobium	2	[Nb]
niobium bromide	472	[Br-]~[Nb+5]~[Br-]~[Br-]~[Br-]~[Br-]
niobium oxide	34	[O-2]~[Nb+5]~[O-2]~[O-2]~[O-2]~[O-2]~[Nb+5]
niobium pentachloride	79	[Cl-]~[Cl-]~[Cl-]~[Cl-]~[Cl-]~[Nb+5]
niobium pentafluoride	11	[F-]~[F-]~[F-]~[F-]~[F-]~[Nb+5]
niobium porphyrin	3	C12=CC=C(N1)C=C1C=CC(=N1)C=C1C=CC(N1)=CC=1C=CC(N1)=C2~[Nb]
niobium silicate	1	[Si]([O-])([O-])([O-])[O-]~[Nb+5]~[Si]([O-])([O-])([O-])[O-]~[Si]([O-])([O-])([O-])[O-]~[Si]([O-])([O-])([O-])[O-]~[Si]([O-])([O-])([O-])[O-]~[Nb+5]~[Nb+5]~[Nb+5]
niox.cntd.graphitic carbon nanotubes	1	empty
nira	5	empty
nisacc	10	empty
nitpp	7	empty
nitrate-loaded amberlite庐 anion exchange column	2	empty
nitrated silica gel	2	empty
nitrating agent	1	empty
nitric acid	6501	[N+](=O)(O)[O-]
nitric acid-d1	1	[N+](=O)(O[2H])[O-]
nitric acid-pretreated sio2	1	empty
nitric oxide	62	[N]=O
nitric oxide anion	2	[N-]=O
nitridolt;n,n'-(1,1,2,2-tetramethyl)ethylenebis(salicylideneaminato)gt;manganese(v)	15	empty
nitrilotris(methylene)triphosphonic acid	1	N(CP(O)(O)=O)(CP(O)(O)=O)CP(O)(O)=O
nitrite	13	N(=O)[O-]
nitrobenzene	2034	[N+](=O)([O-])C1=CC=CC=C1
nitrobenzenesulfonyl hydrazide	1	empty
nitroethane	2	[N+](=O)([O-])CC
nitroethane sodium salt	1	[Na]~[N+](=O)([O-])CC
nitrogen	194	[N]
nitrogen base	4	empty
nitrogen dioxide	6	[N+](=O)[O-]
nitrogen doped reduced graphene oxide	6	empty
nitrogen oxide	1	[N]=O
nitrogen oxides	17	empty
nitrogen oxides containing nitric acid	1	empty
nitrogen trichloride	35	N(Cl)(Cl)Cl
nitrogen trifluoride	2	N(F)(F)F
nitrogen(ii) oxide	310	[N]=O
nitrogen(iv) oxide	277	[N+](=O)[O-]
nitrogen-containing carbon nanotubes	1	empty
nitrogen-saturated water	1	empty
nitroharnstoff	1	C(=O)(N)N[N+](=O)[O-]
nitromethane	6140	[N+](=O)([O-])C
nitromethane-d3	5	[N+](=O)([O-])C([2H])([2H])[2H]
nitronium hexafluorophosphate	4	F[P-](F)(F)(F)(F)F~O=[N+]=O
nitronium hexafluorosilicate	1	F[Si-2](F)(F)(F)(F)F~O=[N+]=O~O=[N+]=O
nitronium tetrafluoroborate	291	F[B-](F)(F)F~O=[N+]=O
nitronium tetrafluoroborate diethyl etherate	1	empty
nitronium trifluoromethanesulfonate	4	FC(S(=O)(=O)[O-])(F)F~O=[N+]=O
nitros gases	1	empty
nitrosobenzene	8	N(=O)C1=CC=CC=C1
nitrosodurene	3	N(=O)CC=1C(C)=CC(C)=C(C)C1
nitrosoguanidine	2	N(=O)NC(=N)N
nitrosomethane	1	N(=O)C
nitrosonium ethyl sulfate	3	S(=O)(=O)(OCC)[O-]~N#[O+]
nitrosonium hexafluoroantimonate	20	F[Sb-](F)(F)(F)(F)F~N#[O+]
nitrosonium hexafluorophosphate	3	F[P-](F)(F)(F)(F)F~N#[O+]
nitrosonium perchlorate	17	Cl(=O)(=O)(=O)[O-]~N#[O+]
nitrosonium tetrafluoroborate	4	F[B-](F)(F)F~N#[O+]
nitrososulfonic acid	1	N(=O)S(=O)(=O)O
nitrosulfuric acid	2	[N+](=O)([O-])OS(O)(=O)=O
nitrosyl bromide	8	N(=O)Br
nitrosyl chloride	231	N(=O)Cl
nitrosyl fluoride	15	N(=O)F
nitrosyl sulfuric acid	63	N(=O)OS(O)(=O)=O
nitrosyl tetrafluoroborate	8	[B-](F)(F)(F)F~N#[O+]
nitrosyl trifluoroacetate	2	FC(C(=O)ON=O)(F)F
nitrosyl-sulphuric acid	14	N(=O)OS(O)(=O)=O
nitrosylchloride	3	N(=O)Cl
nitrosylpolyphosphoric acid	3	empty
nitrosylsulfuric acid	1	N(=O)OS(O)(=O)=O
nitrous acid	3	N(=O)O
nitrous acid isobutyl ester	2	C(C(C)C)ON=O
nitrous acid methyl ester	11	CON=O
nitrous gases	1	empty
nitrous oxide	98	N#[N+][O-]
nitryl chloride	29	[N+](=O)([O-])Cl
nixantphos	299	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC4=C3OC5=C(N4)C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7
ni{n(sime3)(c6h3-2,6-pri2)}2	13	empty
nmahmds	1	empty
nme3	1	CN(C)C
nme4(1+)	1	empty
nme4f	1	empty
nme4noh	1	empty
nmi	11	CN1C=C(C2=CC=CC=C21)CCC(=O)O
nmo	7	C[N+]1(CCOCC1)[O-]
nmo(oc(cf3)3)3-ncme	1	empty
nmpa	1	empty
nmqpf6	57	empty
nnd	3	empty
no	2	[No]
no(1+)*sbcl6(1-)	1	empty
no2	6	empty
no2(1+)*bh4(1-)	1	empty
no2otf	1	empty
no2x	1	empty
nobf4	452	[B-](F)(F)(F)F~N#[O+]
nocardia	1	empty
nocardia corallina	1	empty
nocardia diaphanozonaria	3	empty
nocardia diaphanozonaria cells	1	empty
nocardia diaphanozonaria jcm 3208	1	empty
nocf3so3	1	empty
noe-lactol-dimer	1	empty
noe-lin catalyst	5	empty
noe-lin-oso4	1	empty
nolecular sieves 4 angstroem	1	empty
non-cross-linked polystyrene-pph3	3	empty
non-heme iron	4	empty
nona-ammonium tris(polyoxotungstate) dendrimer with spacer	1	empty
nonachloro-pentacyclolt;4.3.0.02,5.03,8.04,7gt;nonane-4-carboxylic acid	1	empty
nonadecafluorodecanoic acid	2	FC(C(C(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
nonafluoro-n-butanesulfonyl fluoride	106	FC(C(C(S(=O)(=O)F)(F)F)(F)F)(C(F)(F)F)F
nonafluorobutanesulfonyl fluoride	3	FC(C(C(S(=O)(=O)F)(F)F)(F)F)(C(F)(F)F)F
nonamethyltrisilazane	57	C[SiH](N([Si](N([Si](C)(C)C)C)(C)C)C)C
nonanebis(peroxoic acid)	37	C(CCCCCCCC(=O)OO)(=O)OO
nondried air	1	empty
none or naclo4	2	empty
nono or na[(eta5-c5h5)fe(co)3]*thf	1	empty
nonr gene	1	empty
nopf6	1	N#[O+]~F[P-](F)(F)(F)(F)F
nopol benzyl ether	1	empty
nor-azado	1	C1C2CC3CC1C(C2)[NH+]3[O-]
norborn-2-ene	869	C12C=CC(CC1)C2
norbornadienyl sulfone	1	C12=C(C=C(CC1)C2)S(=O)(=O)C2=C1CCC(=C2)C1
norbornanone	1	C12C(CC(CC1)C2)=O
norbornene	3	C12C=CC(CC1)C2
norbornene or 2,4,6-tri-tert-butylphenol	1	empty
norbornylene	2	C12C=CC(CC1)C2
norleucamine	20	CCCCCN
normal butyl hypochlorite	1	ClOCCCC
nosbcl6	2	empty
nosbf6	1	N#[O+]~F[Sb-](F)(F)(F)(F)F
